Method,Parameter Types,Param Sizes,Total Param Size
org.mybatis.jpetstore.domain.Order.getCreditCard(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getExpiryDate(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getLineItems(): java.util.List,[],[],0
org.mybatis.jpetstore.domain.Order.getLocale(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getOrderDate(): java.util.Date,[],[],0
org.mybatis.jpetstore.domain.Order.getOrderId(): int,[],[],0
org.mybatis.jpetstore.domain.Order.getShipAddress1(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipAddress2(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipCity(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipCountry(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipState(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipToFirstName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipToLastName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getShipZip(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getStatus(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getTotalPrice(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.Order.getUsername(): java.lang.String,[],[],0
"org.mybatis.jpetstore.domain.Order.initOrder(org.mybatis.jpetstore.domain.Account, org.mybatis.jpetstore.domain.Cart): void","['org.mybatis.jpetstore.domain.Account', 'org.mybatis.jpetstore.domain.Cart']","[64, 64]",128
org.mybatis.jpetstore.domain.Order.lineItems,[],[],0
org.mybatis.jpetstore.domain.Order.locale,[],[],0
org.mybatis.jpetstore.domain.Order.orderDate,[],[],0
org.mybatis.jpetstore.domain.Order.orderId,[],[],0
org.mybatis.jpetstore.domain.Order.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.Order.setBillAddress1(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillAddress2(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillCity(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillCountry(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillState(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillToFirstName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillToLastName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setBillZip(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setCardType(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setCourier(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setCreditCard(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setExpiryDate(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setLineItems(java.util.List): void,['java.util.List'],[24],24
org.mybatis.jpetstore.domain.Order.setLocale(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setOrderDate(java.util.Date): void,['java.util.Date'],[24],24
org.mybatis.jpetstore.domain.Order.setOrderId(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.Order.setShipAddress1(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipAddress2(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipCity(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipCountry(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipState(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipToFirstName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipToLastName(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setShipZip(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setStatus(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.setTotalPrice(java.math.BigDecimal): void,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.Order.setUsername(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Order.shipAddress1,[],[],0
org.mybatis.jpetstore.domain.Order.shipAddress2,[],[],0
org.mybatis.jpetstore.domain.Order.shipCity,[],[],0
org.mybatis.jpetstore.domain.Order.shipCountry,[],[],0
org.mybatis.jpetstore.domain.Order.shipState,[],[],0
org.mybatis.jpetstore.domain.Order.shipToFirstName,[],[],0
org.mybatis.jpetstore.domain.Order.shipToLastName,[],[],0
org.mybatis.jpetstore.domain.Order.shipZip,[],[],0
org.mybatis.jpetstore.domain.Order.status,[],[],0
org.mybatis.jpetstore.domain.Order.totalPrice,[],[],0
org.mybatis.jpetstore.domain.Order.username,[],[],0
org.mybatis.jpetstore.domain.Product.Product(),[],[],0
org.mybatis.jpetstore.domain.Product.categoryId,[],[],0
org.mybatis.jpetstore.domain.Product.description,[],[],0
org.mybatis.jpetstore.domain.Product.getCategoryId(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Product.getDescription(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Product.getName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Product.getProductId(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Product.name,[],[],0
org.mybatis.jpetstore.domain.Product.productId,[],[],0
org.mybatis.jpetstore.domain.Product.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Product.setName(java.lang.String): void,['java.lang.String'],[24],24
